;1919-12-27
chambre;242.0
député;99.0
législature;16.0
session;5.0
extraordinaire;17.0
mpte;1.0
rendu;18.0
extenso;4.0
séance;29.0
ire;8.0
seance;1.0
samedi;5.0
décembre;139.0
sommaire;5.0
procès-verbal;13.0
uhry;6.0
excuse;10.0
congé;18.0
crets;1.0
désignant;2.0
commissaire;26.0
vguo;1.0
vernement;3.0
présentation;6.0
projet;129.0
loi;364.0
discussion;68.0
portant;26.0
ollr;1.0
erlurc;1.0
annulation;12.0
crédit;228.0
-xerci;1.0
titre;72.0
budget;148.0
ordinaire;36.0
service;165.0
civil;62.0
ouverture;26.0
annulati;1.0
exercice;81.0
penses;2.0
militaire;56.0
dépense;131.0
jollnelles;1.0
passage;7.0
article;226.0
art;124.0
etat;156.0
iinbtltc;1.0
finance;240.0
adoption;55.0
chapitre;86.0
demande;172.0
rétablissement;10.0
lio;1.0
raoul;9.0
péret;8.0
président;243.0
commission;169.0
oplion;1.0
lesbudb;1.0
tts;1.0
justice;28.0
affaire;15.0
étranger;19.0
finistère;8.0
intérieur;32.0
albert;19.0
favre;2.0
-secrétaire;1.0
andré;37.0
rapporteur;65.0
charles;55.0
dumont;12.0
ption;3.0
chap;244.0
ion;9.0
frai;69.0
contentieux;3.0
onnorat;1.0
relatif;13.0
reconstitution;27.0
industriel;35.0
truction;1.0
publique;37.0
beaux-arts;7.0
urnmerce;1.0
industrie;37.0
travail;33.0
onips;1.0
ministère;93.0
agriculture;26.0
ravitaillech;1.0
prime;17.0
destruction;15.0
sanglier;14.0
ernen;1.0
bonnet;10.0
paillerets;7.0
ran;2.0
porteur;4.0
général;152.0
pérollaz;1.0
klotz;8.0
ministre;371.0
nnan-;1.0
àlariiitit;1.0
ilejet;1.0
chafe;1.0
tra;1.0
ihlii;1.0
transport;65.0
marine;82.0
dlandc;1.0
ensemble;20.0
urtic;1.0
htadopt;1.0
afraires;1.0
guerre;193.0
ftlre;1.0
ter;20.0
cirais;1.0
application;46.0
llmaehen;1.0
abp;1.0
sous-secrétaire;26.0
adm-;1.0
nuslration;1.0
arir;1.0
ilic;1.0
lïnslrncuo;1.0
rts;1.0
chaditre;1.0
doption;1.0
bis;38.0
indemnité;79.0
spéciale;35.0
fonctionnaire;33.0
louis;35.0
marin;15.0
herriot;5.0
ducos;8.0
modifié;4.0
dernier;37.0
colonie;14.0
travaux;53.0
public;90.0
région;123.0
libéré;70.0
réparation;17.0
dommage;31.0
goniaux;18.0
ringuier;14.0
tardieu;6.0
fournier-sarlovèze;9.0
proposé;13.0
amendement;82.0
delpierre;33.0
ernest;59.0
flandin;55.0
collègue;66.0
perreau-pradier;7.0
pierre-etienne;2.0
galpin;9.0
miliiaux;1.0
etienne;5.0
régnier;1.0
tapponnier;5.0
lucien;8.0
dior;17.0
lafont;41.0
rejet;3.0
taurines;9.0
lesaché;38.0
mi-;2.0
nistre;13.0
villencau;1.0
ca-;1.0
muzet;2.0
galpill;1.0
millaux;1.0
scrutin;20.0
pointage;3.0
disjonction;32.0
réservé;7.0
léon;26.0
blum;9.0
marchand;46.0
rio;10.0
pierre;39.0
dupuy;5.0
maritime;21.0
marhande;1.0
additionnel;2.0
trocquer;8.0
liquidation;33.0
stock;31.0
résultat;27.0
vérifié;1.0
lre;5.0
partie;66.0
dépôt;29.0
adopté;290.0
sénat;20.0
règlement;30.0
ordre;50.0
jour;69.0
compte;96.0
recrutement;6.0
rapport;41.0
proposition;70.0
présidence;37.0
françois;17.0
araco;1.0
vice-prkgldbnt;1.0
ouverte;2.0
procks-verral;1.0
baréty;3.0
secrétaire;7.0
donne;27.0
lecture;20.0
mardi;2.0
ien;2.0
tialer;1.0
jules;21.0
signaler;5.0
présent;20.0
porté;40.0
erreur;11.0
journal;23.0
officiel;20.0
absent;5.0
rocliiicatiori;1.0
soif;2.0
faite;19.0
eonsta;1.0
iui;1.0
paul-;1.0
umcour;1.0
ccalre;1.0
combrouze;4.0
observation;31.0
henri;25.0
auriol;10.0
mazerand;4.0
gadaud;4.0
accambray;3.0
verlot;9.0
excusent;3.0
pouvoir;31.0
assister;20.0
çhambre;1.0
viviani;4.0
vandame;3.0
mathis;4.0
lenoii;1.0
bail;4.0
demandent;4.0
conformément;25.0
bureau;38.0
avis;20.0
accorder;19.0
opposition;20.0
accordé;37.0
décret;44.0
gouvernement;130.0
république;23.0
français;46.0
lapropositiondu;1.0
paragraphe;24.0
constitutionnelle;8.0
juillet;31.0
décrète;10.0
denoix;2.0
directeur;27.0
contrôle;24.0
financier;13.0
adjoint;4.0
cclier;1.0
conseiller;11.0
mouvement;9.0
fond;23.0
bley;2.0
contri;1.0
butions;1.0
indirectes;5.0
deligne;1.0
enregistrement;7.0
domaine;9.0
timbre;2.0
bolley;1.0
douane;5.0
pion;1.0
dette;13.0
inscrit;12.0
désignés;13.0
qualité;8.0
exceptionnelles;32.0
chargé;23.0
exécution;27.0
décrel;1.0
pari;18.0
conàtitutiormede;1.0
tar;1.0
coeiu-oie;1.0
depeyster;2.0
inspecteur;7.0
chef;13.0
alsace-lorraine;2.0
contribution;32.0
susane;1.0
provisoire;62.0
applicables;27.0
janvier;73.0
février;35.0
mar;58.0
autorisation;10.0
percevoir;8.0
impôt;111.0
revenu;44.0
poincaré;8.0
dispose;4.0
faire;136.0
déterminé;13.0
désigné;5.0
qualfté;1.0
objet;20.0
procurer;4.0
trésor;30.0
alsace;4.0
lorrain;3.0
ressource;28.0
nécessaire;55.0
effectuer;7.0
opération;35.0
demeure;8.0
poincarb;2.0
reçu;39.0
pourront;15.0
hecker;2.0
chemin;25.0
fer;26.0
autoriser;7.0
relèvement;10.0
temporaire;5.0
tarif;5.0
grand;67.0
réseau;6.0
intérêt;41.0
claveille;2.0
entreprendre;2.0
faciliter;3.0
échange;3.0
bassin;3.0
sarre;16.0
france;48.0
dreyfus;1.0
navigation;6.0
voirie;1.0
routière;1.0
préside;2.0
vallelte;1.0
assistance;5.0
hygiène;3.0
publiques;3.0
pams;1.0
gucrra;1.0
francaue;1.0
coll;1.0
seil;2.0
ose;3.0
dispo;1.0
ass;1.0
missaires;1.0
alombert;1.0
contrôleur;2.0
rai;2.0
administration;91.0
armée;18.0
direct;10.0
dails;1.0
verture;1.0
cré;2.0
itsro;1.0
visoires;1.0
janv;2.0
cevoir;1.0
ifi;2.0
conseil;39.0
eléc;1.0
tion;22.0
leprêsidenl;1.0
georges;36.0
clemenceau;2.0
rij;1.0
rine;3.0
assl;1.0
ster;1.0
cotl;1.0
saires;2.0
jet;7.0
lef;2.0
vignal;1.0
comptabilité;23.0
éné-;1.0
raie;1.0
désig;1.0
gouyer;1.0
ment;26.0
tnat;1.0
aptt;1.0
rtilit;1.0
bles;2.0
poincabé;1.0
ibygues;1.0
igrlenltoo;1.0
ravitaillement;14.0
uivant;1.0
agri;1.0
artl;1.0
tonstit;1.0
tionnelle;1.0
sport;1.0
irs;2.0
an;28.0
iilidulstres;1.0
chambras;1.0
commis;4.0
nés;1.0
lïirnis;1.0
lres;2.0
assisi;1.0
rnissaires;1.0
ravies;1.0
ant;3.0
iscussion;1.0
por;1.0
hverture;1.0
aire;3.0
erclce;1.0
ordiîe;1.0
exep;1.0
dépenl;1.0
nnelles;2.0
evn;1.0
ttqeinar;1.0
ptes;2.0
carrier;1.0
secrétariat;2.0
entrai;1.0
rjj;1.0
eau;4.0
forêt;6.0
pardieu;1.0
haras;5.0
fra;1.0
sanii;1.0
jgcieri;1.0
lues;1.0
répression;1.0
xardy;1.0
dll;1.0
cridit;1.0
coopération;1.0
bricole;1.0
att;3.0
ulement;1.0
ilt;3.0
alt;1.0
poincark;1.0
vagriculture;1.0
noulens;1.0
epresi;1.0
lent;2.0
libia;1.0
pnraerraphe;1.0
ori;1.0
nnelle;2.0
pdor;1.0
mnistres;1.0
commislet;1.0
gnés;1.0
pignerol;1.0
maurice;23.0
direcdû;1.0
