;1882-03-21
pourrait;8.0
procurer;2.0
entend;4.0
emprunter;2.0
aise;1.0
voulût;1.0
donner;10.0
complément;1.0
explication;1.0
enfin;5.0
constaté;2.0
tenait;1.0
évaluation;3.0
budgé;1.0
taires;1.0
venu;3.0
proposer;2.0
permis;2.0
élever;2.0
éva-;1.0
luations;1.0
manière;5.0
nsidérable;1.0
minidre;1.0
leqais;1.0
aurai;3.0
lof;1.0
ïnt;1.0
accepterait;1.0
ontiere;1.0
mettre;3.0
équilibre;2.0
perrorssion;1.0
trè;1.0
moleste;1.0
bruit;2.0
apporté;3.0
programme;4.0
financier;3.0
pirt;1.0
trouve;11.0
sage;6.0
rachat;2.0
cbemins;1.0
eti;1.0
vue;13.0
faudrait;4.0
ajouter;4.0
terme;5.0
sez;1.0
réparer;1.0
faut;13.0
prépa-rer;1.0
avenir;6.0
économie;6.0
fintnc;1.0
faisait;2.0
condition;9.0
nlus;1.0
veux;4.0
exclamation;7.0
oui;4.0
charge;11.0
établir;6.0
occasion;4.0
fane;1.0
serait;18.0
béni;1.0
partout;4.0
prédis;1.0
amènera;1.0
république;5.0
peat;1.0
égal;5.0
interruption;6.0
ruais;1.0
causera;1.0
krath;1.0
fffon;1.0
ijem;1.0
itt;1.0
universel;4.0
exciamations;1.0
approbation;7.0
truelle;4.0
demandez;1.0
bioa;1.0
détail;1.0
dépense;30.0
tiersot;4.0
coftfondtz;1.0
repubtique;1.0
catholique;1.0
tiaances;1.0
flnancls;1.0
saint-ai;1.0
wan;1.0
adressé;1.0
essayer;2.0
brièvement;1.0
entrerdans;1.0
sorte;15.0
générait;1.0
convier;1.0
examinons;1.0
silnt-aignan;1.0
puis;10.0
disposer;3.0
avance;8.0
aai;1.0
réalisees;1.0
empoyer;1.0
observer;4.0
rhonufilble;1.0
doute;3.0
saisi;2.0
opération;22.0
présent;4.0
régit;2.0
fonctionnement;1.0
affaire;5.0
société;8.0
établissent;1.0
so-;1.0
ciètés;1.0
réglés;1.0
modifiée;2.0
reste;8.0
restera;2.0
règle;6.0
murmure;2.0
laroche;3.0
joubert;6.0
nuit;1.0
puoe;1.0
différence;3.0
interromprt;1.0
laroche-joubert;5.0
expliquer;1.0
larochsjoubert;1.0
changé;3.0
oot;1.0
subi;1.0
molificition;1.0
récente;1.0
permig;1.0
aug;2.0
menter;1.0
chiffre;13.0
janvier;10.0
individuel;2.0
franck;4.0
changement;2.0
introduit;1.0
législation;7.0
pargne;3.0
seul;6.0
versement;4.0
considériez;1.0
quautrefois;1.0
redemander;1.0
rend;1.0
aussitôt;1.0
réclament;1.0
garder;1.0
indéfiniment;2.0
brlets;1.0
franc;19.0
servent;1.0
eel;1.0
flire;1.0
emploi;3.0
époque;7.0
éloignée;1.0
ployaient;1.0
voulaient;1.0
consentaient;1.0
prêt;3.0
commune;55.0
jugé;1.0
raison;22.0
devaient;2.0
centralisées;1.0
traiter;2.0
directement;6.0
dépôis;1.0
désignée;1.0
intermédiaire;2.0
obligé;8.0
etle;1.0
aété;1.0
recevoir;1.0
lee;2.0
cause;5.0
auraient;4.0
recueilli;1.0
tenir;1.0
constante;4.0
fur;4.0
mesure;13.0
besoin;6.0
pût;2.0
face;4.0
entends;2.0
changer;2.0
estime;3.0
gue;1.0
posé;2.0
principe;44.0
administration;13.0
-sage;1.0
prudent;4.0
chhgeant;1.0
gérer;2.0
remis;3.0
cjisses;1.0
pré;1.0
sente;1.0
sérieues;1.0
administré;1.0
conseil;35.0
surveillance-qui;1.0
renterme;1.0
sein;1.0
délégué;1.0
parlement;5.0
